game_date,home_team,pitch_type,description,launch_speed,launch_angle,stand,p_throws,release_speed,season,pitch_category,swing_outcome,sov
2023-07-24,AZ,CH,foul,73.6,-35.0,R,L,86.8,2023,Offspeed,foul,
2023-04-21,AZ,KC,swinging_strike_blocked,,,R,R,83.8,2023,Breaking,whiff,
2023-07-05,AZ,FF,foul,58.8,40.0,L,L,89.9,2023,Fastball,foul,
2023-06-16,AZ,SI,hit_into_play,82.4,32.0,L,R,93.8,2023,Fastball,in_play,-0.14469305442667202
2023-08-12,AZ,FF,swinging_strike,,,R,R,95.2,2023,Fastball,whiff,
2023-06-28,AZ,CU,swinging_strike_blocked,,,L,R,78.8,2023,Breaking,whiff,
2023-06-15,AZ,FF,foul,102.5,-46.0,R,L,99.8,2023,Fastball,foul,
2023-09-03,AZ,SL,foul,73.2,49.0,L,R,82.5,2023,Breaking,foul,
2023-05-28,AZ,SL,hit_into_play,80.6,20.0,R,R,88.0,2023,Breaking,in_play,-0.2459091815295904
2023-08-25,AZ,FF,foul,80.1,71.0,R,R,90.7,2023,Fastball,foul,
2023-06-14,AZ,FC,swinging_strike,,,L,R,93.0,2023,Fastball,whiff,
2023-06-16,AZ,SL,hit_into_play,106.2,-8.0,R,R,83.8,2023,Breaking,in_play,0.07252288864692447
2023-08-09,AZ,FF,foul_tip,,,R,R,93.2,2023,Fastball,whiff,
2023-06-29,AZ,FF,foul,70.9,57.0,R,R,94.3,2023,Fastball,foul,
2023-08-22,AZ,FF,foul,,,R,R,94.2,2023,Fastball,foul,
2023-08-12,AZ,FF,foul,74.0,42.0,R,R,94.4,2023,Fastball,foul,
2023-08-13,AZ,ST,foul,70.9,43.0,R,R,84.9,2023,Breaking,foul,
2023-06-16,AZ,CU,foul,38.1,-48.0,R,R,75.3,2023,Breaking,foul,
2023-07-06,AZ,SI,hit_into_play,88.0,-38.0,R,R,92.0,2023,Fastball,in_play,-0.7181897649025412
2023-08-12,AZ,KC,swinging_strike,,,R,R,82.9,2023,Breaking,whiff,
2023-04-20,AZ,CH,foul,65.3,45.0,R,R,88.0,2023,Offspeed,foul,
2023-08-08,AZ,FF,foul,71.1,50.0,L,L,95.1,2023,Fastball,foul,
2023-04-22,AZ,FF,foul,53.7,57.0,L,R,91.8,2023,Fastball,foul,
2023-09-02,AZ,FF,hit_into_play,94.3,7.0,L,R,94.5,2023,Fastball,in_play,0.287269771650283
2023-09-05,AZ,FF,foul,79.3,60.0,R,L,90.1,2023,Fastball,foul,
2023-06-17,AZ,SL,swinging_strike,,,L,L,83.2,2023,Breaking,whiff,
2023-08-21,AZ,CH,swinging_strike,,,R,L,81.2,2023,Offspeed,whiff,
